Jahr;Schulgemeinde;country_g;per_g;SG;rank
2005;Letzi;Andere;0.10706829704742023;Letzi;273
2005;Letzi;Bosnien-Herzegowina;0.021473307485833582;Letzi;808
2005;Letzi;Italien;0.046525499552639425;Letzi;438
2005;Letzi;Kroatien;0.02177154786758127;Letzi;795
2005;Letzi;Nordmazedonien;0.026841634357291977;Letzi;672
2005;Letzi;Portugal;0.06084103787652848;Letzi;373
2005;Letzi;Schweiz;0.5556218311959439;Letzi;111
2005;Letzi;Serbien;0.09961228750372801;Letzi;286
2005;Letzi;Spanien;0.026841634357291977;Letzi;672
2005;Letzi;Türkei;0.033402922755741124;Letzi;557
2005;Limmattal;Andere;0.13669950738916256;Limmattal;210
2005;Limmattal;Bosnien-Herzegowina;0.02185960591133005;Limmattal;792
2005;Limmattal;Italien;0.0437192118226601;Limmattal;459
2005;Limmattal;Nordmazedonien;0.0458743842364532;Limmattal;443
2005;Limmattal;Portugal;0.0852832512315271;Limmattal;309
2005;Limmattal;Schweiz;0.3519088669950739;Limmattal;128
2005;Limmattal;Serbien;0.1560960591133005;Limmattal;188
2005;Limmattal;Spanien;0.03078817733990148;Limmattal;594
2005;Limmattal;Sri Lanka;0.08374384236453201;Limmattal;314
2005;Limmattal;Türkei;0.044027093596059115;Limmattal;454
2005;Schwamendingen;Andere;0.14694656488549618;Schwamendingen;196
2005;Schwamendingen;Italien;0.06297709923664122;Schwamendingen;361
2005;Schwamendingen;Nordmazedonien;0.021310432569974554;Schwamendingen;815
2005;Schwamendingen;Portugal;0.05057251908396947;Schwamendingen;425
2005;Schwamendingen;Schweiz;0.5318066157760815;Schwamendingen;121
2005;Schwamendingen;Serbien;0.12595419847328243;Schwamendingen;232
2005;Schwamendingen;Sri Lanka;0.022582697201017812;Schwamendingen;765
2005;Schwamendingen;Türkei;0.037849872773536894;Schwamendingen;510
2005;Uto;Andere;0.13365384615384615;Uto;218
2005;Uto;Italien;0.03461538461538462;Uto;546
2005;Uto;Portugal;0.031490384615384615;Uto;583
2005;Uto;Schweiz;0.6675480769230769;Uto;71
2005;Uto;Serbien;0.07235576923076924;Uto;333
2005;Uto;Sri Lanka;0.038461538461538464;Uto;503
2005;Uto;Türkei;0.021875;Uto;790
2005;Waidberg;Andere;0.13620604259534422;Waidberg;212
2005;Waidberg;Deutschland;0.029717682020802376;Waidberg;614
2005;Waidberg;Italien;0.02847944526993561;Waidberg;632
2005;Waidberg;Portugal;0.0237741456166419;Waidberg;739
2005;Waidberg;Schweiz;0.7268449727587915;Waidberg;44
2005;Waidberg;Serbien;0.0549777117384844;Waidberg;400
2005;Zürichberg;Andere;0.10174120860361899;Zürichberg;281
2005;Zürichberg;Deutschland;0.03687265278251963;Zürichberg;521
2005;Zürichberg;Portugal;0.023557528166609765;Zürichberg;744
2005;Zürichberg;Schweiz;0.8135882553772619;Zürichberg;14
2005;Zürichberg;Serbien;0.02424035506998976;Zürichberg;727
2006;Glattal;Andere;0.18407960199004975;Glattal;156
2006;Glattal;Italien;0.04039800995024875;Glattal;484
2006;Glattal;Portugal;0.03900497512437811;Glattal;497
2006;Glattal;Schweiz;0.6157213930348259;Glattal;97
2006;Glattal;Serbien;0.09512437810945273;Glattal;297
2006;Glattal;Türkei;0.025671641791044777;Glattal;699
2006;Letzi;Andere;0.12293853073463268;Letzi;240
2006;Letzi;Italien;0.04527736131934033;Letzi;449
2006;Letzi;Kroatien;0.022188905547226388;Letzi;779
2006;Letzi;Nordmazedonien;0.024887556221889054;Letzi;716
2006;Letzi;Portugal;0.06416791604197901;Letzi;357
2006;Letzi;Schweiz;0.583808095952024;Letzi;100
2006;Letzi;Serbien;0.08395802098950525;Letzi;312
2006;Letzi;Spanien;0.024887556221889054;Letzi;716
2006;Letzi;Türkei;0.027886056971514243;Letzi;647
2006;Limmattal;Andere;0.14198325820991628;Limmattal;201
2006;Limmattal;Italien;0.037990985189954925;Limmattal;506
2006;Limmattal;Nordmazedonien;0.04410817772054089;Limmattal;453
2006;Limmattal;Portugal;0.09207984546039923;Limmattal;302
2006;Limmattal;Schweiz;0.42466194462330975;Limmattal;127
2006;Limmattal;Serbien;0.1210560206052801;Limmattal;244
2006;Limmattal;Spanien;0.02962009014810045;Limmattal;615
2006;Limmattal;Sri Lanka;0.06793303283966516;Limmattal;346
2006;Limmattal;Türkei;0.04056664520283323;Limmattal;479
2006;Schwamendingen;Andere;0.16220626631853785;Schwamendingen;181
2006;Schwamendingen;Italien;0.06201044386422976;Schwamendingen;367
2006;Schwamendingen;Portugal;0.05483028720626632;Schwamendingen;403
2006;Schwamendingen;Schweiz;0.5496083550913838;Schwamendingen;112
2006;Schwamendingen;Serbien;0.11618798955613577;Schwamendingen;257
2006;Schwamendingen;Sri Lanka;0.022193211488250653;Schwamendingen;777
2006;Schwamendingen;Türkei;0.03296344647519582;Schwamendingen;563
2006;Uto;Andere;0.13425253991291727;Uto;215
2006;Uto;Italien;0.03507498790517658;Uto;539
2006;Uto;Portugal;0.02830188679245283;Uto;634
2006;Uto;Schweiz;0.6913401064344461;Uto;60
2006;Uto;Serbien;0.0602322206095791;Uto;376
2006;Uto;Sri Lanka;0.030478955007256895;Uto;605
2006;Uto;Türkei;0.020319303338171262;Uto;839
2006;Waidberg;Andere;0.1199800448989773;Waidberg;246
2006;Waidberg;Deutschland;0.03167872287353455;Waidberg;576
2006;Waidberg;Italien;0.025193315041157394;Waidberg;710
2006;Waidberg;Portugal;0.025193315041157394;Waidberg;710
2006;Waidberg;Schweiz;0.7530556248441008;Waidberg;41
2006;Waidberg;Serbien;0.04489897730107259;Waidberg;451
2006;Zürichberg;Andere;0.11695698542481336;Zürichberg;254
2006;Zürichberg;Deutschland;0.043370067543547816;Zürichberg;461
2006;Zürichberg;Portugal;0.023817987913259866;Zürichberg;736
2006;Zürichberg;Schweiz;0.8158549591183789;Zürichberg;13
2007;Glattal;Andere;0.15699922660479504;Glattal;187
2007;Glattal;Deutschland;0.02242846094354215;Glattal;767
2007;Glattal;Italien;0.035189481825212685;Glattal;537
2007;Glattal;Portugal;0.03789636504253674;Glattal;509
2007;Glattal;Schweiz;0.6326372776488786;Glattal;90
2007;Glattal;Serbien;0.09068058778035576;Glattal;304
2007;Glattal;Türkei;0.024168600154679042;Glattal;728
2007;Letzi;Andere;0.14460711084553332;Letzi;197
2007;Letzi;Italien;0.04302360322677024;Letzi;465
2007;Letzi;Nordmazedonien;0.02449955183746639;Letzi;722
2007;Letzi;Portugal;0.06871825515386913;Letzi;343
2007;Letzi;Schweiz;0.5945622945921721;Letzi;99
2007;Letzi;Serbien;0.07559008066925604;Letzi;328
2007;Letzi;Spanien;0.021810576635793246;Letzi;794
2007;Letzi;Türkei;0.02718852703913953;Letzi;663
2007;Limmattal;Andere;0.13973799126637554;Limmattal;206
2007;Limmattal;Italien;0.03627813234800134;Limmattal;527
2007;Limmattal;Nordmazedonien;0.039301310043668124;Limmattal;494
2007;Limmattal;Portugal;0.09338259993281828;Limmattal;300
2007;Limmattal;Schweiz;0.4739670809539805;Limmattal;126
2007;Limmattal;Serbien;0.09808532079274437;Limmattal;293
2007;Limmattal;Spanien;0.027544507893852873;Limmattal;656
2007;Limmattal;Sri Lanka;0.05374538125629829;Limmattal;411
2007;Limmattal;Türkei;0.03795767551226067;Limmattal;507
2007;Schwamendingen;Andere;0.1832797427652733;Schwamendingen;157
2007;Schwamendingen;Italien;0.059163987138263666;Schwamendingen;384
2007;Schwamendingen;Portugal;0.06012861736334405;Schwamendingen;378
2007;Schwamendingen;Schweiz;0.5578778135048231;Schwamendingen;109
2007;Schwamendingen;Serbien;0.10739549839228296;Schwamendingen;271
2007;Schwamendingen;Türkei;0.03215434083601286;Schwamendingen;569
2007;Uto;Andere;0.14115356534436602;Uto;202
2007;Uto;Deutschland;0.021659771233876857;Uto;803
2007;Uto;Italien;0.03090776344609394;Uto;590
2007;Uto;Portugal;0.029934290581650036;Uto;611
2007;Uto;Schweiz;0.6979800438062789;Uto;54
2007;Uto;Serbien;0.05281090289608177;Uto;416
2007;Uto;Sri Lanka;0.02555366269165247;Uto;704
2007;Waidberg;Andere;0.1176911544227886;Waidberg;252
2007;Waidberg;Deutschland;0.0384807596201899;Waidberg;502
2007;Waidberg;Italien;0.02623688155922039;Waidberg;686
2007;Waidberg;Portugal;0.023738130934532732;Waidberg;741
2007;Waidberg;Schweiz;0.7583708145927036;Waidberg;39
2007;Waidberg;Serbien;0.03548225887056472;Waidberg;534
2007;Zürichberg;Andere;0.10964285714285714;Zürichberg;266
2007;Zürichberg;Deutschland;0.048214285714285716;Zürichberg;431
2007;Zürichberg;Portugal;0.023571428571428573;Zürichberg;743
2007;Zürichberg;Schweiz;0.8185714285714286;Zürichberg;10
2008;Glattal;Andere;0.1618153963998468;Glattal;183
2008;Glattal;Deutschland;0.024511681348142474;Glattal;721
