Jahr;Schulgemeinde;Bildungsart_2;students;per;esd;acs
2009;Glattal;Sekundarstufe A;597;49.5;0.5041876046901173;18
2009;Glattal;Sekundarstufe B;522;43.3;0.23563218390804597;18
2009;Glattal;Sekundarstufe C;87;7.2;0.14942528735632188;12
2009;Letzi;Sekundarstufe A;339;46.8;0.49557522123893805;19
2009;Letzi;Sekundarstufe B;338;46.7;0.242603550295858;20
2009;Letzi;Sekundarstufe C;47;6.5;0.1063829787234043;12
2009;Limmattal;Sekundarstufe A;287;44.6;0.23344947735191635;20
2009;Limmattal;Sekundarstufe B;356;55.4;0.0786516853932584;18
2009;Schwamendingen;Sekundarstufe A;294;39.5;0.36734693877551017;18
2009;Schwamendingen;Sekundarstufe B;392;52.7;0.2678571428571429;18
2009;Schwamendingen;Sekundarstufe C;58;7.8;0.18965517241379315;12
2009;Uto;Sekundarstufe A;437;50.5;0.6224256292906178;21
2009;Uto;Sekundarstufe B;362;41.8;0.30939226519337015;19
2009;Uto;Sekundarstufe C;66;7.6;0.2272727272727273;13
2009;Waidberg;Sekundarstufe A;435;61.4;0.6689655172413793;19
2009;Waidberg;Sekundarstufe B;251;35.4;0.3784860557768924;20
2009;Waidberg;Sekundarstufe C;23;3.2;0.21739130434782605;12
2009;Zürichberg;Sekundarstufe A;403;86.7;0.7593052109181142;18
2009;Zürichberg;Sekundarstufe B;62;13.3;0.467741935483871;4
2010;Glattal;Sekundarstufe A;474;45.9;0.4683544303797469;19
2010;Glattal;Sekundarstufe B;527;51.1;0.20493358633776093;16
2010;Glattal;Sekundarstufe C;31;3;0.09677419354838712;9
2010;Letzi;Sekundarstufe A;344;46.3;0.44476744186046513;20
2010;Letzi;Sekundarstufe B;379;51;0.2058047493403694;19
2010;Letzi;Sekundarstufe C;20;2.7;0.15000000000000002;10
2010;Limmattal;Sekundarstufe A;288;43.6;0.22916666666666663;20
2010;Limmattal;Sekundarstufe B;372;56.4;0.07526881720430112;17
2010;Schwamendingen;Sekundarstufe A;346;44.5;0.3121387283236994;19
2010;Schwamendingen;Sekundarstufe B;406;52.2;0.23399014778325122;17
2010;Schwamendingen;Sekundarstufe C;26;3.3;0.11538461538461542;13
2010;Uto;Sekundarstufe A;468;53.5;0.6196581196581197;22
2010;Uto;Sekundarstufe B;382;43.7;0.2696335078534031;19
2010;Uto;Sekundarstufe C;24;2.7;0.25;12
2010;Waidberg;Sekundarstufe A;460;65.7;0.6260869565217391;20
2010;Waidberg;Sekundarstufe B;232;33.1;0.35344827586206895;17
2010;Waidberg;Sekundarstufe C;8;1.1;0.25;8
2010;Zürichberg;Sekundarstufe A;496;88.6;0.719758064516129;21
2010;Zürichberg;Sekundarstufe B;64;11.4;0.453125;4
2011;Glattal;Sekundarstufe A;527;48.3;0.4345351043643264;21
2011;Glattal;Sekundarstufe B;565;51.7;0.19115044247787616;16
2011;Letzi;Sekundarstufe A;354;48.6;0.40960451977401124;21
2011;Letzi;Sekundarstufe B;374;51.4;0.213903743315508;18
2011;Limmattal;Sekundarstufe A;294;46.2;0.19387755102040816;20
2011;Limmattal;Sekundarstufe B;342;53.8;0.07602339181286555;17
2011;Schwamendingen;Sekundarstufe A;393;50.3;0.26717557251908397;18
2011;Schwamendingen;Sekundarstufe B;388;49.7;0.2010309278350515;15
2011;Uto;Sekundarstufe A;488;56.3;0.5922131147540983;22
2011;Uto;Sekundarstufe B;379;43.7;0.23482849604221634;17
2011;Waidberg;Sekundarstufe A;465;68.4;0.6301075268817204;20
2011;Waidberg;Sekundarstufe B;215;31.6;0.2790697674418605;16
2011;Zürichberg;Sekundarstufe A;491;88.8;0.7046843177189409;21
2011;Zürichberg;Sekundarstufe B;62;11.2;0.467741935483871;3
2012;Glattal;Sekundarstufe A;565;51.7;0.4389380530973451;22
2012;Glattal;Sekundarstufe B;527;48.3;0.16698292220113853;16
2012;Letzi;Sekundarstufe A;350;48;0.39142857142857146;21
2012;Letzi;Sekundarstufe B;379;52;0.21899736147757254;18
2012;Limmattal;Sekundarstufe A;293;47.4;0.19795221843003408;19
2012;Limmattal;Sekundarstufe B;325;52.6;0.04923076923076919;16
2012;Schwamendingen;Sekundarstufe A;366;50.1;0.24863387978142082;17
2012;Schwamendingen;Sekundarstufe B;364;49.9;0.18131868131868134;15
2012;Uto;Sekundarstufe A;500;58.1;0.5780000000000001;22
2012;Uto;Sekundarstufe B;360;41.9;0.22499999999999998;17
2012;Waidberg;Sekundarstufe A;521;72.6;0.6449136276391555;22
2012;Waidberg;Sekundarstufe B;197;27.4;0.2639593908629442;15
2012;Zürichberg;Sekundarstufe A;489;88.3;0.7402862985685071;18
2012;Zürichberg;Sekundarstufe B;65;11.7;0.32307692307692304;4
2013;Glattal;Sekundarstufe A;603;50.8;0.4328358208955224;21
2013;Glattal;Sekundarstufe B;585;49.2;0.19316239316239314;15
2013;Letzi;Sekundarstufe A;340;47.4;0.3970588235294118;19
2013;Letzi;Sekundarstufe B;378;52.6;0.19047619047619047;18
2013;Limmattal;Sekundarstufe A;288;46.2;0.20833333333333337;18
2013;Limmattal;Sekundarstufe B;336;53.8;0.059523809523809534;16
2013;Schwamendingen;Sekundarstufe A;366;50.4;0.23224043715846998;16
2013;Schwamendingen;Sekundarstufe B;360;49.6;0.15555555555555556;16
2013;Uto;Sekundarstufe A;490;57.8;0.5448979591836735;22
2013;Uto;Sekundarstufe B;358;42.2;0.2039106145251397;17
2013;Waidberg;Sekundarstufe A;547;74.4;0.6508226691042047;20
2013;Waidberg;Sekundarstufe B;188;25.6;0.31382978723404253;12
2013;Zürichberg;Sekundarstufe A;476;86.9;0.7247899159663865;17
2013;Zürichberg;Sekundarstufe B;72;13.1;0.4305555555555556;4
2014;Glattal;Sekundarstufe A;616;50.1;0.4383116883116883;21
2014;Glattal;Sekundarstufe B;614;49.9;0.19543973941368076;15
2014;Letzi;Sekundarstufe A;367;49.7;0.3732970027247956;21
2014;Letzi;Sekundarstufe B;371;50.3;0.1671159029649596;18
2014;Limmattal;Sekundarstufe A;281;46.3;0.23487544483985767;17
2014;Limmattal;Sekundarstufe B;326;53.7;0.06748466257668717;16
2014;Schwamendingen;Sekundarstufe A;362;50.2;0.22651933701657456;16
2014;Schwamendingen;Sekundarstufe B;359;49.8;0.16713091922005574;16
2014;Uto;Sekundarstufe A;481;57.9;0.5675675675675675;21
2014;Uto;Sekundarstufe B;350;42.1;0.20857142857142852;17
2014;Waidberg;Sekundarstufe A;504;70.5;0.6369047619047619;16
2014;Waidberg;Sekundarstufe B;211;29.5;0.3507109004739336;10
2014;Zürichberg;Sekundarstufe A;472;85.4;0.7415254237288136;18
2014;Zürichberg;Sekundarstufe B;81;14.6;0.3827160493827161;5
2015;Glattal;Sekundarstufe A;676;52.2;0.4319526627218935;22
2015;Glattal;Sekundarstufe B;620;47.8;0.17741935483870963;15
2015;Letzi;Sekundarstufe A;401;51.9;0.3591022443890274;21
