Jahr;Schulgemeinde;Schulart;students;per;daz;acs
2016;Uto;Kindergarten;1087;27.7;0.33670653173873044;20
2016;Uto;Primarschule;2831;72.3;0.3571176262804663;21
2016;Waidberg;Kindergarten;1165;27.9;0.28583690987124466;20
2016;Waidberg;Primarschule;3014;72.1;0.26343729263437293;22
2016;Zürichberg;Kindergarten;800;25.2;0.2525;21
2016;Zürichberg;Primarschule;2371;74.8;0.219738506959089;22
2017;Glattal;Kindergarten;1463;28.4;0.6001367053998633;19
2017;Glattal;Primarschule;3682;71.6;0.5730581205866377;21
2017;Letzi;Kindergarten;1052;29.9;0.532319391634981;20
2017;Letzi;Primarschule;2472;70.1;0.5525889967637541;20
2017;Limmattal;Kindergarten;749;30.3;0.5086782376502003;19
2017;Limmattal;Primarschule;1719;69.7;0.5619546247818499;19
2017;Schwamendingen;Kindergarten;676;26.5;0.6745562130177515;18
2017;Schwamendingen;Primarschule;1874;73.5;0.6819637139807898;19
2017;Uto;Kindergarten;1139;27.3;0.3617208077260755;20
2017;Uto;Primarschule;3026;72.7;0.3585591539986781;21
2017;Waidberg;Kindergarten;1158;26.7;0.2867012089810017;19
2017;Waidberg;Primarschule;3182;73.3;0.2605279698302954;22
2017;Zürichberg;Kindergarten;801;24.8;0.2696629213483146;20
2017;Zürichberg;Primarschule;2428;75.2;0.22240527182866557;22
2018;Glattal;Kindergarten;1478;27.7;0.6170500676589986;20
2018;Glattal;Primarschule;3852;72.3;0.5763239875389408;21
2018;Letzi;Kindergarten;1093;30;0.5269899359560841;21
2018;Letzi;Primarschule;2549;70;0.5343271871322087;20
2018;Limmattal;Kindergarten;724;29.2;0.47790055248618785;18
2018;Limmattal;Primarschule;1757;70.8;0.5332953898690951;19
2018;Schwamendingen;Kindergarten;751;28.6;0.6844207723035952;19
2018;Schwamendingen;Primarschule;1875;71.4;0.672;19
2018;Uto;Kindergarten;1193;27;0.3830678960603521;20
2018;Uto;Primarschule;3223;73;0.36363636363636365;21
2018;Waidberg;Kindergarten;1289;28.1;0.29092319627618307;21
2018;Waidberg;Primarschule;3297;71.9;0.2611464968152866;22
2018;Zürichberg;Kindergarten;860;25.2;0.31511627906976747;20
2018;Zürichberg;Primarschule;2557;74.8;0.23973406335549471;22
2019;Glattal;Kindergarten;1647;29.3;0.6308439587128112;20
2019;Glattal;Primarschule;3977;70.7;0.5805883832034197;20
2019;Letzi;Kindergarten;1065;28.7;0.49483568075117373;20
2019;Letzi;Primarschule;2648;71.3;0.5260574018126888;20
2019;Limmattal;Kindergarten;821;29.5;0.464068209500609;20
2019;Limmattal;Primarschule;1962;70.5;0.5066258919469928;20
2019;Schwamendingen;Kindergarten;769;28.8;0.6671001300390117;18
2019;Schwamendingen;Primarschule;1899;71.2;0.6714060031595577;19
2019;Uto;Kindergarten;1264;27.7;0.3805379746835443;20
2019;Uto;Primarschule;3299;72.3;0.36041224613519246;21
2019;Waidberg;Kindergarten;1311;28.2;0.2990083905415713;20
2019;Waidberg;Primarschule;3342;71.8;0.26929982046678635;22
2019;Zürichberg;Kindergarten;876;25;0.3059360730593607;20
2019;Zürichberg;Primarschule;2628;75;0.2519025875190259;22
