Jahr;Schulgemeinde;Bildungsart_2;students;per;daz;acs
2008;Waidberg;Sekundarstufe B;243;35.3;0.6625514403292181;20
2008;Waidberg;Sekundarstufe C;30;4.4;0.8333333333333334;11
2008;Zürichberg;Sekundarstufe A;388;83.6;0.23969072164948454;19
2008;Zürichberg;Sekundarstufe B;76;16.4;0.5921052631578947;10
2009;Glattal;Sekundarstufe A;597;49.5;0.49581239530988275;18
2009;Glattal;Sekundarstufe B;522;43.3;0.764367816091954;18
2009;Glattal;Sekundarstufe C;87;7.2;0.8505747126436781;12
2009;Letzi;Sekundarstufe A;339;46.8;0.504424778761062;19
2009;Letzi;Sekundarstufe B;338;46.7;0.757396449704142;20
2009;Letzi;Sekundarstufe C;47;6.5;0.8936170212765957;12
2009;Limmattal;Sekundarstufe A;287;44.6;0.7665505226480837;20
2009;Limmattal;Sekundarstufe B;356;55.4;0.9213483146067416;18
2009;Schwamendingen;Sekundarstufe A;294;39.5;0.6326530612244898;18
2009;Schwamendingen;Sekundarstufe B;392;52.7;0.7321428571428571;18
2009;Schwamendingen;Sekundarstufe C;58;7.8;0.8103448275862069;12
2009;Uto;Sekundarstufe A;437;50.5;0.37757437070938216;21
2009;Uto;Sekundarstufe B;362;41.8;0.6906077348066298;19
2009;Uto;Sekundarstufe C;66;7.6;0.7727272727272727;13
2009;Waidberg;Sekundarstufe A;435;61.4;0.3310344827586207;19
2009;Waidberg;Sekundarstufe B;251;35.4;0.6215139442231076;20
2009;Waidberg;Sekundarstufe C;23;3.2;0.782608695652174;12
2009;Zürichberg;Sekundarstufe A;403;86.7;0.24069478908188585;18
2009;Zürichberg;Sekundarstufe B;62;13.3;0.532258064516129;4
2010;Glattal;Sekundarstufe A;474;45.9;0.5316455696202531;19
2010;Glattal;Sekundarstufe B;527;51.1;0.7950664136622391;16
2010;Glattal;Sekundarstufe C;31;3;0.9032258064516129;9
2010;Letzi;Sekundarstufe A;344;46.3;0.5552325581395349;20
2010;Letzi;Sekundarstufe B;379;51;0.7941952506596306;19
2010;Letzi;Sekundarstufe C;20;2.7;0.85;10
2010;Limmattal;Sekundarstufe A;288;43.6;0.7708333333333334;20
2010;Limmattal;Sekundarstufe B;372;56.4;0.9247311827956989;17
2010;Schwamendingen;Sekundarstufe A;346;44.5;0.6878612716763006;19
2010;Schwamendingen;Sekundarstufe B;406;52.2;0.7660098522167488;17
2010;Schwamendingen;Sekundarstufe C;26;3.3;0.8846153846153846;13
2010;Uto;Sekundarstufe A;468;53.5;0.3803418803418803;22
2010;Uto;Sekundarstufe B;382;43.7;0.7303664921465969;19
2010;Uto;Sekundarstufe C;24;2.7;0.75;12
2010;Waidberg;Sekundarstufe A;460;65.7;0.3739130434782609;20
2010;Waidberg;Sekundarstufe B;232;33.1;0.646551724137931;17
2010;Waidberg;Sekundarstufe C;8;1.1;0.75;8
2010;Zürichberg;Sekundarstufe A;496;88.6;0.28024193548387094;21
2010;Zürichberg;Sekundarstufe B;64;11.4;0.546875;4
2011;Glattal;Sekundarstufe A;527;48.3;0.5654648956356736;21
2011;Glattal;Sekundarstufe B;565;51.7;0.8088495575221238;16
2011;Letzi;Sekundarstufe A;354;48.6;0.5903954802259888;21
