Jahr;Schulgemeinde;Land;country_n;per_n;rank;diff_c
2001;Letzi;Dominikanische Republik;14;0.0039548022598870055;2063;66
2001;Letzi;Frankreich;2;5.649717514124294e-4;5887;66
2001;Letzi;Gambia;1;2.824858757062147e-4;7272;66
2001;Letzi;Ghana;1;2.824858757062147e-4;7272;66
2001;Letzi;Griechenland;18;0.005084745762711864;1748;66
2001;Letzi;Grossbritannien;9;0.002542372881355932;2733;66
2001;Letzi;Indien;9;0.002542372881355932;2733;66
2001;Letzi;Iran;10;0.002824858757062147;2565;66
2001;Letzi;Irland;3;8.47457627118644e-4;5028;66
2001;Letzi;Israel;1;2.824858757062147e-4;7272;66
2001;Letzi;Italien;229;0.06468926553672316;238;66
2001;Letzi;Japan;1;2.824858757062147e-4;7272;66
2001;Letzi;Kamerun;5;0.0014124293785310734;3919;66
2001;Letzi;Kolumbien;4;0.0011299435028248588;4399;66
2001;Letzi;Kroatien;107;0.030225988700564973;508;66
2001;Letzi;Kuba;1;2.824858757062147e-4;7272;66
2001;Letzi;Libanon;5;0.0014124293785310734;3919;66
2001;Letzi;Marokko;4;0.0011299435028248588;4399;66
2001;Letzi;Neuseeland;1;2.824858757062147e-4;7272;66
2001;Letzi;Niederlande;2;5.649717514124294e-4;5887;66
2001;Letzi;Nordmazedonien;107;0.030225988700564973;508;66
2001;Letzi;Österreich;11;0.0031073446327683617;2428;66
2001;Letzi;Pakistan;4;0.0011299435028248588;4399;66
2001;Letzi;Peru;2;5.649717514124294e-4;5887;66
2001;Letzi;Philippinen;9;0.002542372881355932;2733;66
2001;Letzi;Polen;1;2.824858757062147e-4;7272;66
2001;Letzi;Portugal;144;0.04067796610169491;391;66
2001;Letzi;Rumänien;3;8.47457627118644e-4;5028;66
2001;Letzi;Russland;3;8.47457627118644e-4;5028;66
2001;Letzi;Rwanda;1;2.824858757062147e-4;7272;66
2001;Letzi;Schweiz;1915;0.5409604519774012;106;66
2001;Letzi;Serbien;386;0.10903954802259887;154;66
2001;Letzi;Slowakische Republik;3;8.47457627118644e-4;5028;66
2001;Letzi;Somalia;28;0.007909604519774011;1379;66
2001;Letzi;Spanien;108;0.030508474576271188;496;66
2001;Letzi;Sri Lanka;57;0.016101694915254237;911;66
2001;Letzi;Südafrika;2;5.649717514124294e-4;5887;66
2001;Letzi;Sudan;3;8.47457627118644e-4;5028;66
2001;Letzi;Syrien;1;2.824858757062147e-4;7272;66
2001;Letzi;Thailand;7;0.0019774011299435027;3180;66
2001;Letzi;Togo;2;5.649717514124294e-4;5887;66
2001;Letzi;Tschechische Republik;1;2.824858757062147e-4;7272;66
2001;Letzi;Tunesien;1;2.824858757062147e-4;7272;66
2001;Letzi;Türkei;153;0.043220338983050846;372;66
2001;Letzi;Ukraine;4;0.0011299435028248588;4399;66
2001;Letzi;Ungarn;2;5.649717514124294e-4;5887;66
2001;Letzi;Venezuela;1;2.824858757062147e-4;7272;66
2001;Letzi;Vereinigte Staaten;4;0.0011299435028248588;4399;66
2001;Letzi;Vietnam;1;2.824858757062147e-4;7272;66
2001;Limmattal;Afghanistan;4;0.001119507416736636;4399;66
2001;Limmattal;Afrika;3;8.396305625524769e-4;5028;66
2001;Limmattal;Algerien;1;2.79876854184159e-4;7272;66
2001;Limmattal;Angola;22;0.0061572907920514975;1559;66
2001;Limmattal;Argentinien;4;0.001119507416736636;4399;66
2001;Limmattal;Armenien;2;5.59753708368318e-4;5887;66
2001;Limmattal;Asien;1;2.79876854184159e-4;7272;66
2001;Limmattal;Äthiopien;1;2.79876854184159e-4;7272;66
