Jahr;Schulgemeinde;Schulart;students;per;esd;acs
2009;Waidberg;Kindergarten;858;26.3;0.6806526806526807;20
2009;Waidberg;Primarschule;2399;73.7;0.6394330971238016;22
2009;Zürichberg;Kindergarten;556;22.9;0.8129496402877698;20
2009;Zürichberg;Primarschule;1755;72.4;0.743019943019943;22
2009;Zürichberg;Übergangsklassen;114;4.7;0.7280701754385965;23
2010;Glattal;Kindergarten;1124;26.9;0.41637010676156583;19
2010;Glattal;Primarschule;3053;73.1;0.37635113003603016;21
2010;Letzi;Kindergarten;734;27.3;0.4264305177111717;20
2010;Letzi;Primarschule;1954;72.7;0.35875127942681684;21
2010;Limmattal;Kindergarten;479;21.4;0.28392484342379953;21
2010;Limmattal;Primarschule;1567;70;0.20740268028079134;19
2010;Limmattal;Übergangsklassen;193;8.6;0.4455958549222798;22
2010;Schwamendingen;Kindergarten;554;22.5;0.2545126353790613;19
2010;Schwamendingen;Primarschule;1719;69.7;0.24374636416521234;21
2010;Schwamendingen;Übergangsklassen;194;7.9;0.5051546391752577;22
2010;Uto;Kindergarten;810;25.5;0.6432098765432099;19
2010;Uto;Primarschule;2366;74.5;0.5266272189349113;20
2010;Waidberg;Kindergarten;931;27.5;0.6659505907626209;20
2010;Waidberg;Primarschule;2453;72.5;0.651039543416225;22
2010;Zürichberg;Kindergarten;620;24.8;0.7967741935483871;21
2010;Zürichberg;Primarschule;1771;70.7;0.7453416149068324;22
2010;Zürichberg;Übergangsklassen;114;4.6;0.7543859649122807;23
2011;Glattal;Kindergarten;1125;26.2;0.41688888888888886;19
2011;Glattal;Primarschule;3169;73.8;0.38466393183969705;21
2011;Letzi;Kindergarten;840;29.3;0.4202380952380952;21
2011;Letzi;Primarschule;2029;70.7;0.370133070478068;21
2011;Limmattal;Kindergarten;468;21.5;0.29700854700854706;20
2011;Limmattal;Primarschule;1518;69.8;0.23913043478260865;19
2011;Limmattal;Übergangsklassen;189;8.7;0.5026455026455027;21
2011;Schwamendingen;Kindergarten;495;20.4;0.21212121212121215;18
2011;Schwamendingen;Primarschule;1736;71.4;0.2465437788018433;20
2011;Schwamendingen;Übergangsklassen;201;8.3;0.5472636815920398;22
2011;Uto;Kindergarten;820;25.5;0.625609756097561;19
2011;Uto;Primarschule;2390;74.5;0.5506276150627616;20
2011;Waidberg;Kindergarten;963;27.8;0.7217030114226376;20
2011;Waidberg;Primarschule;2503;72.2;0.6576108669596484;22
2011;Zürichberg;Kindergarten;651;24.7;0.7818740399385561;20
2011;Zürichberg;Primarschule;1872;70.9;0.7564102564102564;22
2011;Zürichberg;Übergangsklassen;117;4.4;0.811965811965812;24
2012;Glattal;Kindergarten;1217;27.4;0.42070665571076415;20
2012;Glattal;Primarschule;3218;72.6;0.3980733374766936;20
2012;Letzi;Kindergarten;875;30;0.4354285714285714;20
2012;Letzi;Primarschule;2046;70;0.3651026392961877;20
2012;Limmattal;Kindergarten;486;22.3;0.3539094650205762;20
2012;Limmattal;Primarschule;1501;68.9;0.26715522984676887;19
2012;Limmattal;Übergangsklassen;193;8.9;0.5492227979274611;21
2012;Schwamendingen;Kindergarten;474;19.7;0.24683544303797467;17
2012;Schwamendingen;Primarschule;1727;71.7;0.24956572090330054;19
2012;Schwamendingen;Übergangsklassen;206;8.6;0.5339805825242718;23
2012;Uto;Kindergarten;862;26.4;0.6415313225058005;20
2012;Uto;Primarschule;2397;73.6;0.5627868168544014;20
2012;Waidberg;Kindergarten;976;27.7;0.7510245901639344;20
2012;Waidberg;Primarschule;2546;72.3;0.6700706991358995;22
2012;Zürichberg;Kindergarten;645;23.9;0.8046511627906977;19
2012;Zürichberg;Primarschule;1951;72.3;0.7580727831881087;21
2012;Zürichberg;Übergangsklassen;104;3.9;0.8076923076923077;21
2013;Glattal;Kindergarten;1282;28.5;0.44851794071762874;20
2013;Glattal;Primarschule;3214;71.5;0.3960796515245799;20
2013;Letzi;Kindergarten;872;29;0.41628440366972475;19
2013;Letzi;Primarschule;2132;71;0.39165103189493433;20
2013;Limmattal;Kindergarten;518;23.1;0.3803088803088803;21
2013;Limmattal;Primarschule;1510;67.3;0.2933774834437086;20
2013;Limmattal;Übergangsklassen;215;9.6;0.5488372093023256;24
2013;Schwamendingen;Kindergarten;456;18.8;0.25;17
2013;Schwamendingen;Primarschule;1762;72.7;0.2542565266742338;20
2013;Schwamendingen;Übergangsklassen;205;8.5;0.551219512195122;23
2013;Uto;Kindergarten;948;28;0.6835443037974683;21
2013;Uto;Primarschule;2433;72;0.5869297163995069;21
2013;Waidberg;Kindergarten;1008;27.8;0.7509920634920635;21
2013;Waidberg;Primarschule;2624;72.2;0.6863567073170731;22
2013;Zürichberg;Kindergarten;655;23.4;0.8244274809160306;20
2013;Zürichberg;Primarschule;2017;72.2;0.7620228061477442;21
2013;Zürichberg;Übergangsklassen;123;4.4;0.7317073170731707;25
2014;Glattal;Kindergarten;1354;29.2;0.4290989660265879;20
2014;Glattal;Primarschule;3283;70.8;0.4136460554371002;20
2014;Letzi;Kindergarten;899;29.2;0.4538375973303671;19
2014;Letzi;Primarschule;2178;70.8;0.4049586776859504;20
2014;Limmattal;Kindergarten;720;30.2;0.43333333333333335;20
2014;Limmattal;Primarschule;1661;69.8;0.3329319686935581;20
2014;Schwamendingen;Kindergarten;628;26;0.2993630573248408;18
2014;Schwamendingen;Primarschule;1785;74;0.2784313725490196;19
2014;Uto;Kindergarten;1010;28.6;0.6801980198019801;20
2014;Uto;Primarschule;2522;71.4;0.6098334655035687;21
2014;Waidberg;Kindergarten;1084;28.3;0.7666051660516605;20
2014;Waidberg;Primarschule;2748;71.7;0.7114264919941775;22
2014;Zürichberg;Kindergarten;777;26.4;0.7940797940797941;21
2014;Zürichberg;Primarschule;2161;73.6;0.7714021286441463;22
2015;Glattal;Kindergarten;1434;30.1;0.43444909344490934;20
2015;Glattal;Primarschule;3328;69.9;0.42848557692307687;21
2015;Letzi;Kindergarten;977;30.3;0.4882292732855681;20
2015;Letzi;Primarschule;2243;69.7;0.41328577797592514;20
2015;Limmattal;Kindergarten;728;30.2;0.4807692307692307;19
2015;Limmattal;Primarschule;1684;69.8;0.36342042755344417;20
2015;Schwamendingen;Kindergarten;674;26.3;0.33234421364985167;18
2015;Schwamendingen;Primarschule;1886;73.7;0.3006362672322376;20
2015;Uto;Kindergarten;1043;28.3;0.6797698945349953;20
2015;Uto;Primarschule;2640;71.7;0.6386363636363637;21
2015;Waidberg;Kindergarten;1148;28.7;0.755226480836237;21
2015;Waidberg;Primarschule;2847;71.3;0.7207586933614332;22
2015;Zürichberg;Kindergarten;785;26.1;0.7821656050955414;20
2015;Zürichberg;Primarschule;2220;73.9;0.7824324324324324;22
2016;Glattal;Kindergarten;1483;29.6;0.4227916385704653;20
2016;Glattal;Primarschule;3520;70.4;0.42840909090909096;21
2016;Letzi;Kindergarten;988;29.8;0.4726720647773279;20
2016;Letzi;Primarschule;2327;70.2;0.4340352385045122;20
2016;Limmattal;Kindergarten;750;30.4;0.516;19
2016;Limmattal;Primarschule;1717;69.6;0.3931275480489226;20
2016;Schwamendingen;Kindergarten;663;25.6;0.36500754147812975;19
2016;Schwamendingen;Primarschule;1929;74.4;0.3094867807153966;19
2016;Uto;Kindergarten;1087;27.7;0.6632934682612696;20
2016;Uto;Primarschule;2831;72.3;0.6428823737195337;21
2016;Waidberg;Kindergarten;1165;27.9;0.7141630901287553;20
2016;Waidberg;Primarschule;3014;72.1;0.7365627073656271;22
2016;Zürichberg;Kindergarten;800;25.2;0.7475;21
2016;Zürichberg;Primarschule;2371;74.8;0.780261493040911;22
2017;Glattal;Kindergarten;1463;28.4;0.3998632946001367;19
2017;Glattal;Primarschule;3682;71.6;0.42694187941336226;21
2017;Letzi;Kindergarten;1052;29.9;0.467680608365019;20
2017;Letzi;Primarschule;2472;70.1;0.44741100323624594;20
2017;Limmattal;Kindergarten;749;30.3;0.49132176234979974;19
2017;Limmattal;Primarschule;1719;69.7;0.4380453752181501;19
2017;Schwamendingen;Kindergarten;676;26.5;0.3254437869822485;18
2017;Schwamendingen;Primarschule;1874;73.5;0.3180362860192102;19
2017;Uto;Kindergarten;1139;27.3;0.6382791922739245;20
2017;Uto;Primarschule;3026;72.7;0.6414408460013219;21
2017;Waidberg;Kindergarten;1158;26.7;0.7132987910189983;19
2017;Waidberg;Primarschule;3182;73.3;0.7394720301697046;22
2017;Zürichberg;Kindergarten;801;24.8;0.7303370786516854;20
2017;Zürichberg;Primarschule;2428;75.2;0.7775947281713345;22
2018;Glattal;Kindergarten;1478;27.7;0.3829499323410014;20
2018;Glattal;Primarschule;3852;72.3;0.42367601246105924;21
2018;Letzi;Kindergarten;1093;30;0.4730100640439159;21
2018;Letzi;Primarschule;2549;70;0.4656728128677913;20
2018;Limmattal;Kindergarten;724;29.2;0.5220994475138121;18
